INFO 2024/3/9 18:44:49  launch with argv [/usr/share/typora/Typora]
INFO 2024/3/9 18:44:50  launchFromDiffVersion, pre version is undefined
INFO 2024/3/9 18:44:50  start LM in devVersion=false
INFO 2024/3/9 18:44:50  [Raven] instanceKey = bfd8b245-97f7-457f-8ab6-eb5a5fb20e31
INFO 2024/3/9 18:44:50  [watch L]
INFO 2024/3/9 18:44:50  ls put SLicense
INFO 2024/3/9 18:44:50  [L] Read from incorrupted InstallDate
INFO 2024/3/9 18:44:50  writeInstallDate fromBTime=true
INFO 2024/3/9 18:44:50  overwriteThemeFolder
INFO 2024/3/9 18:44:50  ------------------start------------------
INFO 2024/3/9 18:44:50  typora version: 1.8.10
INFO 2024/3/9 18:44:50  undefined
INFO 2024/3/9 18:44:50  ls put IDate
INFO 2024/3/9 18:44:50  [L] installDate is 3/9/2024, trail remains: 15 days
INFO 2024/3/9 18:44:50  [watch L] hasL: false
INFO 2024/3/9 18:44:50  [Raven] userId = db69cf6a-a0bd-4bef-be98-c02a601af30c
INFO 2024/3/9 18:44:50  [focus] 1
INFO 2024/3/9 18:44:50  synced recovery
user-dict.json not found
ERROR 2024/3/9 18:44:51  Error: net::ERR_FILE_NOT_FOUND
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:50234)
    at SimpleURLLoaderWrapper.emit (node:events:513:28)
    at SimpleURLLoaderWrapper.emit (node:domain:489:12)
ERROR 2024/3/9 18:44:51  Error: net::ERR_FILE_NOT_FOUND
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:50234)
    at SimpleURLLoaderWrapper.emit (node:events:513:28)
    at SimpleURLLoaderWrapper.emit (node:domain:489:12)
INFO 2024/3/9 18:44:51  handle document.loadData
INFO 2024/3/9 18:44:51  [RenderProcess 1][Log] [UndoManager] reset commandStack
INFO 2024/3/9 18:44:51  [RenderProcess 1][Log] reset NodeMap
INFO 2024/3/9 18:44:51  synced recovery
INFO 2024/3/9 18:44:51  [RenderProcess 1][Log] onBecomeActive
INFO 2024/3/9 18:44:51  [RenderProcess 1][Log] File.activeWindow = true
INFO 2024/3/9 18:44:55  [blur] 1
INFO 2024/3/9 18:44:55  [win] blur
INFO 2024/3/9 18:44:55  [focus] 2
INFO 2024/3/9 18:45:01  [blur] 2
INFO 2024/3/9 18:45:01  [focus] 1
INFO 2024/3/9 18:45:01  [blur] 1
INFO 2024/3/9 18:45:01  [win] blur
INFO 2024/3/9 18:45:03  synced recovery
INFO 2024/3/9 18:45:03  ----------------before-quit-----------------
INFO 2024/3/9 18:45:03  synced recovery
INFO 2024/3/9 18:45:03  ----------------before-quit-----------------
INFO 2024/3/9 18:45:03  ------------------will-quit------------------
INFO 2024/3/9 18:45:03  -----------------quit------------------
INFO 2024/3/9 18:45:03  closeLogging
INFO 2024/3/9 19:29:25  launch with argv [/usr/share/typora/Typora, /home/lhb/Downloads/introduction-self.md]
INFO 2024/3/9 19:29:25  start LM in devVersion=false
INFO 2024/3/9 19:29:25  [Raven] instanceKey = 12fd452e-30a2-449d-ab59-65cd6e7bb764
INFO 2024/3/9 19:29:25  [watch L]
INFO 2024/3/9 19:29:25  ls put SLicense
INFO 2024/3/9 19:29:25  [L] installDate is 3/9/2024, trail remains: 15 days
INFO 2024/3/9 19:29:25  [watch L] hasL: false
INFO 2024/3/9 19:29:25  ------------------start------------------
INFO 2024/3/9 19:29:25  typora version: 1.8.10
INFO 2024/3/9 19:29:25  undefined
INFO 2024/3/9 19:29:25  addRecentDocument
user-dict.json not found
INFO 2024/3/9 19:29:26  [Raven] userId = db69cf6a-a0bd-4bef-be98-c02a601af30c
INFO 2024/3/9 19:29:26  [focus] 1
INFO 2024/3/9 19:29:26  synced recovery
ERROR 2024/3/9 19:29:27  Error: net::ERR_FILE_NOT_FOUND
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:50234)
    at SimpleURLLoaderWrapper.emit (node:events:513:28)
    at SimpleURLLoaderWrapper.emit (node:domain:489:12)
ERROR 2024/3/9 19:29:27  Error: net::ERR_FILE_NOT_FOUND
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:50234)
    at SimpleURLLoaderWrapper.emit (node:events:513:28)
    at SimpleURLLoaderWrapper.emit (node:domain:489:12)
INFO 2024/3/9 19:29:27  handle document.loadData
INFO 2024/3/9 19:29:27  [RenderProcess 1][Log] [UndoManager] reset commandStack
INFO 2024/3/9 19:29:27  [RenderProcess 1][Log] reset NodeMap
INFO 2024/3/9 19:29:27  [RenderProcess 1][Log] readContentFrom /home/lhb/Downloads/introduction-self.md
INFO 2024/3/9 19:29:27  synced recovery
INFO 2024/3/9 19:29:28  [RenderProcess 1][Log] onBecomeActive
INFO 2024/3/9 19:29:28  [RenderProcess 1][Log] File.activeWindow = true
INFO 2024/3/9 19:29:37  synced recovery
INFO 2024/3/9 19:30:26  synced recovery
INFO 2024/3/9 19:30:33  synced recovery
INFO 2024/3/9 19:30:36  synced recovery
INFO 2024/3/9 19:30:38  synced recovery
INFO 2024/3/9 19:30:39  synced recovery
INFO 2024/3/9 19:30:49  synced recovery
INFO 2024/3/9 19:30:51  synced recovery
INFO 2024/3/9 19:30:54  synced recovery
INFO 2024/3/9 19:30:55  synced recovery
INFO 2024/3/9 19:31:05  synced recovery
